uid,id,score
u00000,a06555,5
u00000,a00174,4
u00000,a00620,5
u00000,a01834,5
u00000,a04709,1
u00000,a02170,1
u00000,a03467,3
u00000,a06125,3
u00000,a05608,3
u00000,a04940,3
u00000,a06729,1
u00000,a01542,3
u00000,a02927,3
u00000,a06394,4
u00000,a03376,2
u00000,a03374,4
u00000,a04468,1
u00000,a00402,1
u00000,a06603,2
u00000,a06294,1
u00000,a01774,4
u00000,a00063,4
u00000,a06948,5
u00000,a01893,3
u00000,a00802,1
u00000,a03220,1
u00000,a02590,3
u00000,a06904,2
u00000,a03131,2
u00000,a01560,1
u00000,a00880,3
u00000,a00077,5
u00000,a01220,2
u00000,a04870,1
u00000,a03124,4
u00000,a04109,1
u00000,a00657,4
u00000,a05314,4
u00000,a04237,4
u00000,a01291,1
u00000,a02764,5
u00000,a03658,1
u00000,a03625,5
u00000,a00236,3
u00000,a02697,4
u00000,a01259,1
u00000,a05786,3
u00000,a04653,2
u00000,a06740,4
u00000,a02894,4
u00000,a00365,3
u00000,a01293,2
u00000,a01421,5
u00000,a05186,1
u00000,a05909,4
u00000,a02371,4
u00000,a05401,4
u00000,a00584,3
u00000,a00443,4
u00000,a02400,5
u00000,a05366,5
u00000,a05727,2
u00000,a06273,3
u00000,a04526,3
u00000,a05346,3
u00000,a00588,1
u00000,a01433,4
u00000,a03222,1
u00000,a04245,2
u00000,a02526,4
u00000,a02653,3
u00000,a01026,3
u00000,a05077,4
u00000,a02774,4
u00000,a03416,4
u00000,a03779,5
u00000,a01416,4
u00000,a01755,1
u00000,a05924,2
u00000,a06591,5
u00000,a04651,2
u00000,a01808,1
u00000,a03890,5
u00000,a03761,4
u00000,a05527,3
u00000,a04820,1
u00000,a02981,3
u00000,a03769,2
u00000,a02557,3
u00000,a04265,5
u00000,a04414,5
u00000,a00103,5
u00000,a03850,5
u00000,a00311,5
u00000,a04158,1
u00000,a06682,3
u00000,a03339,4
u00000,a04629,2
u00001,a02089,1
